1776315753.4189246,zipf,Q2,HIT,0.39
1776315754.4319425,zipf,Q1,MISS,8.32
1776315755.437046,zipf,Q3,HIT,0.51
1776315756.4479704,zipf,Q5,MISS,6.59
1776315757.4595742,zipf,Q3,MISS,7.78
1776315758.4698389,zipf,Q3,MISS,6.96
1776315759.4742386,zipf,Q2,HIT,0.34
1776315760.4781754,zipf,Q3,HIT,0.48
1776315761.4894507,zipf,Q1,MISS,5.86
1776315762.5033,zipf,Q5,MISS,9.61
1776315763.5153706,zipf,Q5,MISS,7.61
1776315764.5194778,zipf,Q5,HIT,0.37
1776315765.5247233,zipf,Q3,HIT,0.77
1776315766.5287538,zipf,Q3,HIT,0.46
1776315768.2290578,zipf,Q5,HIT,0.38
1776315769.2348754,zipf,Q5,HIT,0.41
1776315770.2541618,zipf,Q2,MISS,14.91
1776315771.277777,zipf,Q2,MISS,19.15
1776315772.2850037,zipf,Q5,HIT,0.41
1776315773.290326,zipf,Q5,HIT,0.48
1776315774.3038626,zipf,Q3,MISS,8.92
1776315775.3169317,zipf,Q3,MISS,7.29
1776315776.3276238,zipf,Q3,MISS,7.35
1776315777.3476107,zipf,Q2,MISS,15.11
1776315778.3549192,zipf,Q5,HIT,0.45
1776315779.3680494,zipf,Q3,MISS,6.95
1776315780.3733952,zipf,Q3,HIT,0.33
1776315781.3896358,zipf,Q1,MISS,9.40
1776315782.4007692,zipf,Q1,MISS,6.88
1776315783.4129267,zipf,Q5,MISS,8.30
1776315784.4174986,zipf,Q3,HIT,0.42
1776315785.4230688,zipf,Q1,HIT,0.51
1776315786.4336514,zipf,Q3,MISS,6.22
1776315787.468593,zipf,Q2,MISS,29.94
1776315788.4836257,zipf,Q1,HIT,0.49
1776315789.4971116,zipf,Q5,MISS,7.12
1776315790.519107,zipf,Q2,MISS,17.88
1776315791.5230372,zipf,Q2,HIT,0.43
1776315792.5280962,zipf,Q1,HIT,0.41
1776315793.5332098,zipf,Q3,HIT,0.38
1776315794.5433424,zipf,Q1,MISS,7.08
1776315795.5535102,zipf,Q3,MISS,6.68
1776315796.561985,zipf,Q5,MISS,5.46
1776315797.565954,zipf,Q3,HIT,0.35
1776315799.10393,zipf,Q2,HIT,0.34
1776315800.1166658,zipf,Q2,MISS,8.98
1776315801.1336823,zipf,Q5,MISS,12.12
1776315802.1486547,zipf,Q5,MISS,9.71
1776315803.1687431,zipf,Q2,MISS,15.89
1776315804.1861413,zipf,Q5,MISS,13.56
1776315805.191857,zipf,Q5,HIT,0.60
